credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,predict.test
1,all_other,0.0743,77.69,13.16542287,2.45,762,6240,141287,9.4,5,1,0,0,0.0519171182
1,debt_consolidation,0.133,67.68,9.798127037,22,662,1470,1042,37.2,3,1,0,0,0.1686834043
1,debt_consolidation,0.133,406.07,10.20359214,7.16,662,1530.041667,137,3.2,1,1,0,1,0.1374124076
1,educational,0.0838,293.85,9.392661929,0,737,1139,0,0,1,0,0,0,0.1743988802
1,debt_consolidation,0.1014,421.14,10.59663473,17.01,752,4349,35944,56.2,2,0,0,0,0.1405110969
1,debt_consolidation,0.1078,365.51,11.00209984,14.26,702,6780.041667,7973,89.6,0,0,0,0,0.1102904352
1,small_business,0.1236,701.12,10.77895629,0.85,682,2579,639,13.6,1,0,0,1,0.2302670552
1,debt_consolidation,0.1236,133.55,10.59653473,9.48,662,4080.041667,2923,28.4,3,0,0,0,0.1103342287
1,debt_consolidation,0.1109,327.82,10.63344871,19.32,702,2849,15368,87.1,0,0,0,0,0.1360742144
1,all_other,0.0743,69.14,11.69524702,7.67,762,6007.041667,21521,29.5,1,0,0,1,0.0571013716
1,debt_consolidation,0.1141,329.34,11.27090486,14.03,692,4470.041667,8473,27.6,3,1,1,0,0.1408542484
1,debt_consolidation,0.0807,225.86,11.02190247,17,762,5340.041667,9366,40.7,4,0,0,1,0.0879991854
1,debt_consolidation,0.1267,536.57,11.42081018,10.13,677,5280.041667,23129,79.8,0,1,0,1,0.1255506424
1,all_other,0.1014,97,10.77895629,0,692,5160,0,0,0,0,0,0,0.0763352329
1,all_other,0.0775,124.89,10.96127785,1.33,767,2485.041667,2325,8.2,0,0,0,0,0.0681980511
1,debt_consolidation,0.0775,218.55,10.81769612,10.37,767,4410,6634,9.4,0,0,0,0,0.058647666
1,credit_card,0.1141,247,11.1844214,14.65,682,3329,5608,47.1,0,0,0,0,0.0653816608
1,debt_consolidation,0.1299,673.79,10.77895629,18.98,682,4830.041667,13649,42.4,1,0,0,1,0.1611828055
1,debt_consolidation,0.1488,692.14,11.23848862,7.11,667,3899.041667,15773,95,0,0,0,1,0.1836894572
1,debt_consolidation,0.0983,289.69,9.980448594,4.83,712,1620.041667,7263,39,0,0,0,0,0.1184512671
1,all_other,0.0838,264.71,10.54796956,13.1,767,7560.041667,3451,19.4,0,0,0,0,0.0941496925
1,debt_consolidation,0.1267,117.38,10.77895629,13.1,662,9659.041667,16770,50.7,0,0,0,0,0.08836603
1,all_other,0.0951,230.68,10.38887228,15.84,717,1800,3247,33.3,1,0,0,0,0.1334399621
1,debt_consolidation,0.152,730.04,11.22524339,21.84,677,2640.041667,27839,72.7,0,1,0,0,0.1935587553
1,all_other,0.0775,312.22,11.65702581,2.89,807,5160,0,0,1,0,0,0,0.0602022523
1,major_purchase,0.0807,250.95,11.00209984,9.58,757,13109,17246,13.7,1,0,0,0,0.0457800233
1,small_business,0.1046,16.25,10.16585182,14.17,692,4919.041667,5643,60.7,0,0,0,0,0.1749244638
1,debt_consolidation,0.1204,372.22,10.71441777,21.33,697,4710,17850,66.3,1,0,0,0,0.1385965593
1,all_other,0.092,175.42,10.51867319,16.74,727,4590.041667,6566,48.6,1,0,0,0,0.1233575602
1,all_other,0.1046,194.91,10.81977828,5.06,687,4464,9516,63.4,1,0,0,0,0.1277127828
1,debt_consolidation,0.133,406.07,10.71441777,4.67,662,2849,7209,38.1,1,0,0,1,0.1305805379
1,all_other,0.0712,57.23,10.46310334,11.59,772,5970.041667,6035,19,0,0,0,0,0.0768244057
1,debt_consolidation,0.1204,498.51,11.51292546,15.82,682,9150,49459,88.8,1,2,0,0,0.1291229652
1,credit_card,0.1267,737.78,11.40756495,13.04,697,5100,22738,30.8,0,1,0,0,0.0940283335
1,debt_consolidation,0.1204,498.51,11.51292546,14.32,677,4439,25988,98.8,1,0,0,0,0.1344163413
1,debt_consolidation,0.1615,880.78,11.6351431,24.84,682,7619,51039,93.8,0,1,0,1,0.2138386688
1,all_other,0.1172,231.57,12.20607265,15.46,692,6629,119420,95.1,0,0,0,0,0.1180049905
1,all_other,0.1014,258.67,10.81977828,8.78,702,3946,0,0,0,0,0,0,0.0905254429
1,credit_card,0.133,101.52,10.47005058,24.79,697,5569,21573,73.7,1,0,0,1,0.1083223239
1,debt_consolidation,0.092,382.72,10.59663473,10.14,747,7800.041667,3179,11,1,0,1,0,0.1194327471
1,credit_card,0.0775,305.97,11.00209984,9.2,797,6270,209,1.9,0,0,0,0,0.0417351887
1,credit_card,0.1078,261.08,11.26446411,16.75,692,4290.041667,50908,37.1,0,2,0,0,0.0664191107
1,debt_consolidation,0.1078,310.03,11.21989579,8.22,697,3707,2624,48.6,1,0,0,0,0.0874712154
1,debt_consolidation,0.133,406.07,10.81683395,24.22,692,6509,13662,60.7,0,1,0,0,0.1334313351
1,debt_consolidation,0.0983,257.5,10.49127422,21.33,762,6300.041667,8516,11.1,0,0,0,0,0.0804107039
1,debt_consolidation,0.1393,527.52,10.6454249,19.71,667,2490,12032,87.2,3,0,1,1,0.3088056382
1,debt_consolidation,0.0983,136,10.77895629,11.93,717,6329.041667,19708,37.1,0,1,0,0,0.0748606349
1,debt_consolidation,0.1261,450.67,10.46310334,19.71,692,3030.041667,18028,88.4,1,0,0,0,0.188608826
1,debt_consolidation,0.0945,387.32,10.89673933,11.02,742,3285,8828,54.8,5,0,0,0,0.1349909447
1,debt_consolidation,0.0863,47.45,9.77246729,9.37,722,5099,6033,31.1,1,0,0,0,0.0946416047
1,debt_consolidation,0.1197,336.98,11.40863105,6.61,692,9570,14081,73.7,0,0,1,0,0.1266147056
1,debt_consolidation,0.1387,655,11.28522153,7.16,672,12554.04167,12301,56.4,1,0,0,0,0.1268645397
1,all_other,0.08,188.02,10.77895629,14.08,792,4890.041667,2573,16.3,1,0,0,0,0.0874381112
1,debt_consolidation,0.1008,148.61,10.6454249,5.91,727,4680,7239,16.3,2,0,0,0,0.0816956215
1,debt_consolidation,0.0976,225.09,10.22557105,17.78,717,1830,16326,48.6,2,0,0,0,0.1293272285
1,debt_consolidation,0.1355,589.2,10.69194491,18.52,677,4800,18966,70.5,2,0,0,0,0.1964735401
1,credit_card,0.0832,160.57,10.98529272,7.08,767,13319.04167,25336,35.9,0,0,0,0,0.0423175671
1,all_other,0.1071,260.82,12.27839331,17.66,707,6630,120563,92.4,0,0,0,0,0.1096524337
1,all_other,0.0768,187.14,11.22524339,2.54,802,6451.041667,6094,2.8,0,0,0,0,0.0592392158
1,small_business,0.1008,807.62,11.87756858,3.84,762,4725,52214,8.7,8,0,0,0,0.2469110943
1,debt_consolidation,0.1103,327.53,10.30895266,13.4,707,3359,10837,83.4,1,0,0,1,0.1545255941
1,small_business,0.08,313.37,11.65268741,12,777,5941,90335,53.5,3,0,0,0,0.1553706718
1,debt_consolidation,0.1261,167.54,10.1266311,4.56,667,4799,3389,47.1,2,0,1,0,0.1923784155
1,home_improvement,0.0945,544.17,11.00209984,0.6,762,3390.041667,653,3.2,2,0,0,0,0.1404628064
1,all_other,0.0976,80.39,10.49127422,0.5,702,1680.041667,11794,59.3,0,0,0,0,0.1193437308
1,small_business,0.1292,507.36,10.6454249,23.29,717,5220.041667,462,11.3,2,0,1,0,0.3114136028
1,all_other,0.1324,507.15,11.14764215,3.29,672,3659,170,34,0,0,0,0,0.1409079538
1,debt_consolidation,0.1418,548.25,10.85220675,11.13,662,2519,15923,90.5,0,0,0,0,0.1821447085
1,all_other,0.0863,142.33,9.210340372,0,727,1110,0,0,0,1,0,0,0.1402869435
1,all_other,0.1103,327.53,10.11070495,9.17,692,4110,8575,70.3,0,1,0,0,0.1877096905
1,all_other,0.1103,98.26,10.62132735,16.92,682,1560,21498,42.4,1,0,0,0,0.1329311862
1,credit_card,0.1482,587.82,11.55214618,20.12,667,8250.041667,32406,91.8,1,4,0,0,0.1347708227
1,credit_card,0.1166,826.31,11.51292546,18.88,722,1949.041667,16694,33.1,0,0,0,0,0.0960041588
1,debt_consolidation,0.08,156.69,10.37098805,10.71,762,2309.041667,1698,7.9,0,0,0,0,0.0686708503
1,debt_consolidation,0.0863,373.21,11.00209984,7.8,757,3390,3282,32.6,3,0,0,0,0.0929348369
1,debt_consolidation,0.1292,213.72,11.294956,20.15,677,8520.041667,22247,93.1,1,0,0,0,0.1115922042
1,debt_consolidation,0.1387,341.15,10.96819829,24.72,702,6839.041667,24299,58.6,0,0,0,1,0.123478275
1,debt_consolidation,0.1103,671.44,10.55581274,15.72,722,3580.041667,31566,32.3,1,0,0,1,0.154434965
1,credit_card,0.1387,135.61,10.08580911,21.9,662,4200.041667,10944,82.3,1,0,0,0,0.1374988316
1,debt_consolidation,0.0976,321.55,10.54534144,3.22,722,2670.041667,9255,63,0,0,0,0,0.108209858
1,debt_consolidation,0.1134,394.8,10.54534144,8.72,687,4261.041667,11134,70.9,0,0,0,0,0.1313335088
1,debt_consolidation,0.1387,341.15,10.4744671,13.19,662,4050,11969,88,2,0,0,1,0.1897122655
1,debt_consolidation,0.1671,710.18,11.08214255,20.09,662,4110,26255,74.3,1,0,0,0,0.2239379156
1,debt_consolidation,0.1039,162.26,11.15051985,15.72,707,2970,5762,43.3,1,0,0,1,0.0782699531
1,debt_consolidation,0.1103,360.29,9.92329018,6.82,697,1530,3041,84.5,2,0,0,1,0.193342935
1,all_other,0.0945,224.07,11.44035477,10.86,717,4080,5257,32.9,1,0,0,1,0.0849609162
1,debt_consolidation,0.1229,490.29,10.52406404,21.94,702,1950.041667,14694,43.1,2,0,0,1,0.165642197
1,home_improvement,0.08,156.69,11.28978191,3.75,762,12668.04167,8366,7.1,0,0,0,0,0.0635076427
1,credit_card,0.0945,150.45,11.08214255,11.13,717,5208,16724,41.7,0,0,0,0,0.0519950337
1,debt_consolidation,0.1292,807.74,11.29849385,15.08,697,4440,21364,86.5,0,0,0,1,0.1719699093
1,all_other,0.0976,482.32,11.08214255,11.35,737,3990,3834,33.3,2,0,0,1,0.1321230301
1,all_other,0.0863,316.28,11.00209984,8.94,732,4440,16167,44.3,3,0,0,0,0.1260094394
1,debt_consolidation,0.1197,278.88,10.84778248,20.96,697,4619.041667,14129,84.1,0,0,0,0,0.122767974
1,home_improvement,0.1039,486.76,11.58988651,8.92,712,3059.041667,15553,20,1,0,0,0,0.123734561
1,all_other,0.1166,330.53,11.06663836,13.33,712,4383,2388,48.7,2,0,0,0,0.1420451057
1,credit_card,0.0976,241.16,11.40756495,12.32,722,1950.041667,5570,25.4,3,0,0,0,0.0604620176
1,all_other,0.1197,365.2,10.49127422,15.83,682,4410,23253,72,1,0,0,0,0.1983660775
1,debt_consolidation,0.1071,326.02,11.24177269,10.37,702,11280,26888,26.2,0,0,0,0,0.0675983181
1,debt_consolidation,0.1261,301.56,10.42228135,14.68,687,4650.041667,14371,60.9,0,1,0,1,0.1362370741
1,debt_consolidation,0.1134,416.19,10.59663473,21.96,717,4291.041667,1727,8.9,1,0,0,0,0.1063731881
1,debt_consolidation,0.1261,201.04,10.81977828,3.89,667,5970.041667,20845,47.7,0,0,0,0,0.0962630283
1,credit_card,0.0945,409.73,11.08214255,8.86,742,5129,13207,77.7,0,0,0,0,0.0772035324
1,credit_card,0.1039,464.05,10.30895266,21.28,752,2729.041667,5649,30.2,2,0,0,0,0.1120798973
1,debt_consolidation,0.1292,269.25,11.15625052,4.08,667,5820,1152,13.1,3,3,0,0,0.0966624195
1,debt_consolidation,0.1387,477.61,11.04292184,20.45,677,2675,20065,66,2,0,0,0,0.1667424278
1,debt_consolidation,0.1071,273.86,10.83958091,16.47,702,4530.041667,16021,66.8,1,0,0,0,0.1106409597
1,debt_consolidation,0.0945,320.1,11.73606902,5.28,727,9120,9438,33.5,3,0,0,0,0.0646187379
1,all_other,0.1008,387.66,11.77528973,21.2,772,6750.041667,74885,0,0,0,0,0,0.0819285439
1,all_other,0.1324,405.72,10.69557468,14.4,672,3720,768,64,2,0,0,0,0.2040946287
1,credit_card,0.0976,305.47,11.06763786,4.8,717,5070.041667,12226,45.6,0,1,1,0,0.0906769523
1,all_other,0.0737,93.14,10.58415721,1.55,802,3660,2724,7.9,0,0,0,0,0.0731815446
1,credit_card,0.0945,160.05,10.59663473,5.97,722,2819.041667,3212,35.7,1,1,0,0,0.0671588544
1,credit_card,0.1355,407.52,10.91508846,14.99,667,4499,10918,59,2,0,0,0,0.1165677888
1,all_other,0.1039,272.59,10.46321762,19.61,717,4439.958333,213,7.1,1,0,1,0,0.171840143
1,debt_consolidation,0.1324,444.6,10.53720315,20.66,677,4620.041667,2796,38.8,2,0,0,0,0.153990264
1,all_other,0.1071,489.03,11.28978191,6.9,707,7410,8298,38.6,3,0,1,0,0.1912789424
1,debt_consolidation,0.1355,373.56,10.77895629,22.75,677,2730.041667,10211,96.3,0,0,0,0,0.1634691304
1,credit_card,0.0768,109.17,10.30895266,2.52,762,3840,2096,46.6,0,0,0,0,0.059365425
1,educational,0.0976,241.16,9.903487553,10.56,717,4121.958333,3415,14.3,0,0,0,0,0.1503574789
1,debt_consolidation,0.1513,680.69,11.22524339,19.36,662,2669.958333,20658,55.4,0,0,0,0,0.1657214774
1,credit_card,0.1071,228.22,10.30895266,21.48,722,10110,24397,53.4,1,0,0,0,0.0896971444
1,debt_consolidation,0.1008,323.05,10.77895629,2.65,742,4260,6512,16.4,0,0,0,0,0.0778533322
1,credit_card,0.0832,236.14,11.15625052,2.81,757,4199.958333,7905,30.2,0,0,0,0,0.0461473881
1,all_other,0.08,235.03,10.59663473,5.22,772,5280,0,0,3,0,0,0,0.0998947997
1,credit_card,0.1197,697.2,11.92503512,7.99,697,8101.958333,17788,52.7,3,0,0,0,0.0892078022
1,debt_consolidation,0.157,525.17,11.35035948,20.44,672,5490,28511,56.7,1,0,0,0,0.1520949498
1,all_other,0.0768,187.14,10.67359577,0.83,792,4139.958333,138,0.2,0,0,0,0,0.0741591549
1,debt_consolidation,0.1134,526.4,11.35040654,9.37,702,4590,8833,44.8,1,0,1,0,0.1467271613
1,debt_consolidation,0.1039,292.06,10.71441777,14.64,712,4439.958333,6239,63,3,0,0,0,0.1266245815
1,credit_card,0.1229,100.06,10.37349118,13.28,672,4320,2940,27.7,1,2,0,0,0.0820764412
1,debt_consolidation,0.1292,168.28,10.64780302,21.04,677,2910.958333,13073,55.9,3,0,0,1,0.141683394
1,all_other,0.1292,807.74,11.46163217,7.06,687,6360,9201,49.7,2,1,1,0,0.2636943577
1,credit_card,0.1166,330.53,11.69524702,8.13,682,3060,59145,81.1,0,0,0,0,0.0777402181
1,debt_consolidation,0.1292,201.94,10.61643736,15.32,667,2700,7091,47.3,2,2,0,0,0.1330687322
1,all_other,0.0832,37.79,10.40426284,3.42,722,2160,6685,19.2,1,0,0,0,0.0944615537
1,all_other,0.0945,640.2,11.44563115,3.98,777,3029.958333,32,0.3,0,0,0,0,0.0947188914
1,home_improvement,0.1324,202.86,10.55581274,23.09,687,5010,9912,65.6,1,0,0,0,0.2070931301
1,debt_consolidation,0.1166,462.74,10.91508846,8.42,687,3749.958333,17623,83.1,0,1,0,0,0.1363004225
1,debt_consolidation,0.1229,50.03,10.27505111,4.18,662,2850,0,0,3,0,0,0,0.1006694238
1,all_other,0.08,206.83,10.82177629,12.86,762,12330,3339,16.9,1,0,0,0,0.0765468965
1,credit_card,0.1134,296.1,9.825526011,11.68,682,4230,9237,64.6,1,0,1,1,0.1845229628
1,home_improvement,0.0832,125.94,11.10465643,0,767,4740,1401,1.9,1,0,0,0,0.0800128099
1,debt_consolidation,0.1166,178.49,10.9560559,15.92,687,4505.958333,3037,76.8,0,1,0,0,0.1005271873
1,debt_consolidation,0.1292,269.25,10.71441777,19.89,692,5249.958333,4755,89.7,1,0,0,0,0.1443282497
1,all_other,0.0863,202.42,10.98359637,10.55,727,3344.958333,1686,52.7,0,0,0,0,0.0966090342
1,credit_card,0.0976,160.78,10.54534144,4.45,712,3419.958333,9877,60.6,2,0,0,0,0.0838189754
1,all_other,0.1324,265.41,12.20607265,15.62,707,4680,36293,62.3,3,0,0,1,0.1215768241
1,debt_consolidation,0.1071,339.06,10.87066149,15.6,717,3749.958333,19859,63.4,0,0,0,1,0.1080708488
1,debt_consolidation,0.0863,132.84,11.6421978,2.09,737,6390,11730,47.5,0,0,0,0,0.0483091261
1,credit_card,0.1197,109.56,9.798127037,17.4,672,1169.958333,8562,32.9,3,0,0,1,0.1242754104
1,debt_consolidation,0.1355,339.6,11.90496755,10.14,662,4620,3608,37.6,1,1,0,0,0.0797292032
1,debt_consolidation,0.1387,388.91,11.00209984,24.48,712,10110,44293,73.6,0,0,0,0,0.1343237336
1,debt_consolidation,0.1039,324.51,11.03811028,10.59,707,1469.958333,7618,47.2,2,0,0,0,0.1043314801
1,major_purchase,0.1355,155.37,11.06663836,13.5,697,7582,8399,41,2,0,0,1,0.0816315976
1,debt_consolidation,0.0976,144.7,10.90227951,4.24,707,1499.958333,3818,61.6,0,0,0,1,0.0817807128
1,all_other,0.1166,198.32,11.1124479,7.07,677,6060,8224,52.1,0,0,0,0,0.1073728941
1,all_other,0.08,313.37,10.27467173,2.24,792,14100,2751,16.7,0,0,0,0,0.0901410348
1,credit_card,0.1103,108.09,11.15625052,1.37,677,2339.958333,670,60.9,0,3,0,0,0.0622260693
1,debt_consolidation,0.0832,128.3,9.862665558,1.25,742,1981,296,2,0,0,0,0,0.0789196621
1,home_improvement,0.1576,350.39,10.66061161,13.56,662,3450,2076,23.1,2,0,0,0,0.2262874728
1,debt_consolidation,0.1071,286.9,11.08980542,13.08,702,4379.958333,35098,51.5,2,0,0,0,0.1052729625
1,all_other,0.0863,506.05,10.40426284,1.16,812,7409.958333,2248,3.1,0,0,0,0,0.1105675381
1,major_purchase,0.0768,99.81,11.0303147,12.29,762,10709.95833,7232,3.6,2,0,0,0,0.0405062991
1,debt_consolidation,0.1008,310.13,11.00209984,19.72,732,5070,19500,30.9,0,0,0,0,0.0810466559
1,debt_consolidation,0.1008,128.42,10.49664864,21.78,762,6719.958333,12879,19.5,1,0,0,0,0.0821496918
1,credit_card,0.1103,147.39,11.28978191,11.03,697,10649.95833,43712,82.5,0,0,0,1,0.0633133269
1,debt_consolidation,0.145,289.14,10.81977828,20.59,662,1680,19056,69,0,0,0,0,0.1456937685
1,debt_consolidation,0.1229,213.46,10.46310334,20.78,687,4620,9408,64,1,0,0,0,0.1317024236
1,debt_consolidation,0.1103,245.65,11.56171563,11.14,692,7054.958333,30449,61.3,2,0,0,0,0.0855937032
1,all_other,0.0976,160.78,10.75790288,13.53,717,8429.958333,5000,23.1,1,0,0,0,0.0945588386
1,credit_card,0.1387,118.55,10.66881585,24.51,687,4109.958333,21043,81.6,3,0,0,1,0.1293811198
1,credit_card,0.1418,342.66,11.40756495,20.77,672,2626.958333,59106,62.3,0,0,0,0,0.0991081426
1,debt_consolidation,0.08,219.36,10.69194491,16.04,777,3389.958333,752,1.9,1,0,0,0,0.0664325567
1,home_improvement,0.08,156.69,10.59663473,5.7,762,9599.958333,7755,10.8,3,0,0,0,0.1108122722
1,all_other,0.1071,293.42,10.57131693,11.69,697,1680,8858,52.4,2,0,0,0,0.166050227
1,debt_consolidation,0.1008,171.22,11.30220443,14.79,712,6900,66235,97.4,0,0,0,1,0.0945455453
1,debt_consolidation,0.0832,188.91,10.59663473,2.82,742,2070,4712,25.3,0,0,0,0,0.0713518852
1,all_other,0.1324,253.58,11.66992921,5.78,662,10080,23611,32.7,0,2,0,0,0.0917354987
1,debt_consolidation,0.1039,153.33,10.4723179,18.99,712,1859.958333,8775,34.1,1,0,0,0,0.0995684571
1,credit_card,0.0976,162.39,10.54975275,15.63,722,7920,967,6.4,1,0,0,0,0.0553313557
1,debt_consolidation,0.1008,129.22,10.51867319,20.92,742,8760,1620,17.2,0,0,0,0,0.0701934441
1,all_other,0.1273,335.67,11.00209984,20.64,712,1800,3353,54.1,0,0,0,0,0.1495103146
1,home_improvement,0.0863,50.61,11.00209984,17.64,732,5070,24249,54.6,1,0,0,0,0.1133846847
